TE -- Scott Chandler -- NE
TE -- Scott Simonson -- CAR
TE -- Timothy Wright -- DET
TE -- Tony Moeaki -- ATL
TE -- Travis Kelce -- KC
TE -- Trey Burton -- PHI
TE -- Troy Niklas -- ARI
TE -- Tyler Eifert -- CIN
TE -- Tyler Kroft -- CIN
TE -- Vance McDonald -- SF
TE -- Vernon Davis -- DEN
TE -- Vernon Davis -- SF
TE -- Virgil Green -- DEN
TE -- Will Tye -- NYG
TE -- Zach Ertz -- PHI
TE -- Zach Miller -- CHI
WR -- A.J. Green -- CIN
WR -- Aaron Dobson -- NE
WR -- Adam Humphries -- TB
WR -- Adam Thielen -- MIN
WR -- Albert Wilson -- KC
WR -- Allen Hurns -- JAC
WR -- Allen Robinson -- JAC
WR -- Alshon Jeffery -- CHI
WR -- Amari Cooper -- OAK
WR -- Andre Caldwell -- DEN
WR -- Andre Holmes -- OAK
WR -- Andre Johnson -- IND
WR -- Andre Roberts -- WAS
WR -- Andrew Hawkins -- CLE
WR -- Andrew Turzilli -- TEN
WR -- Anquan Boldin -- SF
WR -- Antonio Brown -- PIT
WR -- Ben Edwards -- NYG
WR -- Bennie Fowler -- DEN
WR -- Bradley Marquez -- LA
WR -- Brandin Cooks -- NO
WR -- Brandon Coleman -- NO
WR -- Brandon LaFell -- NE
WR -- Brandon Marshall -- NYJ
WR -- Brandon Tate -- CIN
WR -- Brenton Bersin -- CAR
WR -- Brian Hartline -- CLE
WR -- Brian Quick -- LA
WR -- Brice Butler -- DAL
WR -- Brittan Golden -- ARI
WR -- Bruce Ellington -- SF
WR -- Bryan Walters -- JAC
WR -- Calvin Johnson -- DET
WR -- Cameron Meredith -- CHI
WR -- Cecil Shorts -- HOU
WR -- Chandler Worthy -- HOU
WR -- Charles Johnson -- MIN
WR -- Chris Conley -- KC
WR -- Chris Givens -- BAL
WR -- Chris Givens -- LA
WR -- Chris Harper -- NE
WR -- Chris Hogan -- BUF
WR -- Chris Matthews -- BAL
WR -- Chris Matthews -- SEA
WR -- Chris Owusu -- NYJ
WR -- Cody Latimer -- DEN
WR -- Cole Beasley -- DAL
WR -- Cordarrelle Patterson -- MIN
WR -- Corey Fuller -- DET
WR -- Damaris Johnson -- NE
WR -- Danny Amendola -- NE
WR -- Darius Jennings -- CLE
WR -- Darrius Heyward-Bey -- PIT
WR -- Davante Adams -- GB
WR -- De'Anthony Thomas -- KC
WR -- DeAndre Hopkins -- HOU
WR -- DeAndrew White -- SF
WR -- DeSean Jackson -- WAS
WR -- DeVante Parker -- MIA
WR -- Demaryius Thomas -- DEN
WR -- Deonte Thompson -- CHI
WR -- Devin Funchess -- CAR
WR -- Devin Smith -- NYJ
WR -- Devin Street -- DAL
WR -- Dez Bryant -- DAL
WR -- Donte Moncrief -- IND
WR -- Donteea Dye -- TB
WR -- Dontrelle Inman -- SD
WR -- Dorial Green-Beckham -- TEN
WR -- Doug Baldwin -- SEA
WR -- Dwayne Bowe -- CLE
WR -- Dwayne Harris -- NYG
WR -- Eddie Royal -- CHI
WR -- Emmanuel Sanders -- DEN
WR -- Eric Decker -- NYJ
WR -- Eric Weems -- ATL
WR -- Geremy Davis -- NYG
WR -- Golden Tate -- DET
WR -- Greg Jennings -- MIA
WR -- Greg Salas -- BUF
WR -- Griff Whalen -- IND
WR -- Hakeem Nicks -- NYG
WR -- Harry Douglas -- TEN
WR -- J.J. Nelson -- ARI
WR -- Jaelen Strong -- HOU
WR -- James Jones -- GB
WR -- Jamison Crowder -- WAS
WR -- Jared Abbrederis -- GB
WR -- Jarius Wright -- MIN
WR -- Jaron Brown -- ARI
WR -- Jarvis Landry -- MIA
WR -- Jason Avant -- KC
WR -- Javontee Herndon -- SD
WR -- Jeff Janis -- GB
WR -- Jeremy Butler -- BAL
WR -- Jeremy Kerley -- NYJ
WR -- Jeremy Maclin -- KC
WR -- Jeremy Ross -- BAL
WR -- Jermaine Kearse -- SEA
WR -- Jerome Simpson -- SF
WR -- Jerricho Cotchery -- CAR
WR -- John Brown -- ARI
WR -- Jonathan Krause -- PHI
WR -- Jordan Matthews -- PHI
WR -- Jordan Norwood -- DEN
WR -- Josh Huff -- PHI
WR -- Joshua Bellamy -- CHI
WR -- Julian Edelman -- NE
WR -- Julio Jones -- ATL
WR -- Justin Hardy -- ATL
WR -- Justin Hunter -- TEN
WR -- Kamar Aiken -- BAL
WR -- Kasen Williams -- SEA
WR -- Keenan Allen -- SD
WR -- Keith Mumphery -- HOU
WR -- Kenbrell Thompkins -- NYJ
WR -- Kendall Wright -- TEN
WR -- Kenny Britt -- LA
WR -- Kenny Stills -- MIA
WR -- Keshawn Martin -- NE
WR -- Kevin Norwood -- CAR
WR -- Kevin Smith -- SEA
WR -- Lance Moore -- DET
WR -- Larry Fitzgerald -- ARI
WR -- Leonard Hankerson -- ATL
WR -- Louis Murphy -- TB
WR -- Lucky Whitehead -- DAL
WR -- Malcom Floyd -- SD
WR -- Marc Mariani -- CHI
WR -- Marcus Easley -- BUF
WR -- Marcus Thigpen -- BUF
WR -- Mario Alford -- CIN
WR -- Markus Wheaton -- PIT
WR -- Marlon Brown -- BAL
WR -- Marlon Moore -- CLE
WR -- Marqise Lee -- JAC
WR -- Marques Colston -- NO
WR -- Marquess Wilson -- CHI
WR -- Marquise Goodwin -- BUF
WR -- Martavis Bryant -- PIT
WR -- Marvin Jones Jr. -- CIN
WR -- Matt Hazel -- MIA
WR -- Matthew Slater -- NE
WR -- Michael Campanaro -- BAL
WR -- Michael Crabtree -- OAK
WR -- Michael Floyd -- ARI
WR -- Mike Evans -- TB
WR -- Mike Wallace -- MIN
WR -- Miles Austin -- PHI
WR -- Mohamed Sanu -- CIN
WR -- Myles White -- NYG
WR -- Nate Washington -- HOU
WR -- Nelson Agholor -- PHI
WR -- Nick Williams -- ATL
WR -- Odell Beckham Jr -- NYG
WR -- Paul Richardson -- SEA
WR -- Percy Harvin -- BUF
WR -- Phillip Dorsett -- IND
WR -- Philly Brown -- CAR
WR -- Pierre Garcon -- WAS
WR -- Preston Parker -- NYG
WR -- Quincy Enunwa -- NYJ
WR -- Quinton Patton -- SF
WR -- Randall Cobb -- GB
WR -- Rashad Greene Sr. -- JAC
WR -- Rashad Ross -- WAS
WR -- Ricardo Lockette -- SEA
WR -- Rico Richardson -- TEN
WR -- Riley Cooper -- PHI
WR -- Rishard Matthews -- MIA
WR -- Robert Woods -- BUF
WR -- Rod Streater -- OAK
WR -- Roddy White -- ATL
WR -- Rueben Randle -- NYG
WR -- Russell Shepard -- TB
WR -- Ryan Grant -- WAS
WR -- Sammie Coates -- PIT
WR -- Sammy Watkins -- BUF
WR -- Seantavius Jones -- NO
WR -- Seth Roberts -- OAK
WR -- Seyi Ajirotutu -- PHI
WR -- Stedman Bailey -- LA
WR -- Stefon Diggs -- MIN
WR -- Steve Smith Sr. -- BAL
WR -- Stevie Johnson -- SD
WR -- T.J. Graham -- NO
WR -- T.J. Jones -- DET
WR -- T.Y. Hilton -- IND
WR -- Tavon Austin -- LA
WR -- Taylor Gabriel -- CLE
WR -- Ted Ginn --  Jr.
WR -- Terrance Williams -- DAL
WR -- Terrelle Pryor Sr. -- CLE
WR -- Tony Washington -- JAC
WR -- Torrey Smith -- SF
WR -- Travis Benjamin -- CLE
WR -- Tre McBride -- TEN
WR -- Ty Montgomery -- GB
WR -- Tyler Lockett -- SEA
WR -- Tyrell Williams -- SD
WR -- Vince Mayle -- DAL
WR -- Vincent Brown -- SD
WR -- Vincent Jackson -- TB
WR -- Wes Welker -- LA
WR -- Willie Snead IV -- NO
